timestamp,min_rep,max_rep,max_immigration
2020-10-15,0.179,1,0.067
2020-11-15,0.042,1,0.096
2020-12-15,0,1,0.096
2021-01-15,0,0.276,0.096
2021-02-15,0.09,1,0.376
2021-03-15,0.09,1,0.376
2021-04-15,0,1,0.376
2021-05-15,0,1,0.309
2021-06-15,0.065,0.149,0.309
2021-07-15,0,0.276,0.309
2021-08-15,0,0.035,0.067
2021-09-15,0,0.035,0.067
2021-10-15,0.179,1,0.067
2021-11-15,0.042,1,0.096
2021-12-15,0,1,0.096
2022-01-15,0,0.276,0.096
2022-02-15,0.09,1,0.376
2022-03-15,0.09,1,0.376
2022-04-15,0,1,0.376
2022-05-15,0,1,0.309
2022-06-15,0.065,0.149,0.309
2022-07-15,0,0.276,0.309
2022-08-15,0,0.035,0.067
2022-09-15,0,0.035,0.067
